pr,propierty,class
1384,85.91,3
1385,98.87,3
1386,98.01,3
1387,24.31,3
1388,52.02,3
1389,98.92,3
1390,68.77,3
1391,82.99,3
1392,86.13,3
1393,78.35,3
1394,98.41,3
1395,90.93,3
1396,98.38,3
1397,96.4,3
1398,98.12,3
1399,79.1,3
1400,94.38,3
1401,88.8,3
1402,98.58,3
1403,97.54,3
1404,71.3,3
1405,91.97,3
1406,87.06,3
1407,92.51,3
1408,88.73,3
1409,93.89,3
1410,97.62,3
1411,84.76,3
1412,96.77,3
1413,96.59,3
1414,94.68,3
1415,99.51,3
1416,99.06,3
1417,96.38,3
1418,94.48,3
1419,97.2,3
1420,98.04,3
1421,66.97,3
1422,68.44,3
1423,79.29,3
1424,66.3,3
1425,98.95,3
1426,98.64,3
1427,99.62,3
1428,68.89,3
1429,99.53,3
1430,98.25,3
1431,97.18,3
1432,72.4,3
1433,50.74,3
1434,89.89,3
1435,88.45,3
1436,84.48,3
1437,97.61,3
1438,63.6,3
1439,98.61,3
1440,98.78,3
1441,77.06,3
1442,93.38,3
1443,99.75,3
1444,97.62,3
1445,95.21,3
1446,90.17,3
1447,99.51,3
1448,95.82,3
1449,74.25,3
1450,93.47,3
1451,74.01,3
1452,98.7,3
1453,89,3
1454,99.91,3
1455,99.51,3
1456,79.09,3
1457,94.79,3
1458,98.76,3
1459,85.43,3
1460,94.99,3
1461,99.19,3
1462,92.3,3
1463,90.18,3
1464,99.05,3
1465,93.9,3
1466,99.55,3
1467,70.96,3
1468,94.17,3
1469,71.22,3
1470,99.6,3
1471,95.28,3
1472,95.05,3
1473,89.91,3
1474,80.07,3
1475,99.82,3
1476,94.9,3
1477,86.72,3
1478,96.51,3
1479,92.65,3
1480,98.08,3
1481,92.24,3
1482,99.58,3
1483,92.77,3
1484,94.27,3
1485,97.38,3
1486,91.08,3
1487,94.41,3
1488,90.92,3
1489,98.37,3
1490,90.73,3
1491,87.38,3
1492,98.67,3
1493,90.18,3
1494,95.89,3
1495,99.88,3
1496,96.97,3
1497,64.96,3
1498,99.03,3
1499,99.76,3
1500,87.42,3
1501,59.13,3
1502,99,3
1503,53.14,3
1504,98.86,3
1505,82.21,3
1506,98.61,3
1507,94.6,3
1508,93.85,3
1509,100,3
1510,100,3
1511,96.44,3
1512,98.97,3
1513,73.54,0
1514,89.04,0
1515,88.05,0
1516,86.15,0
1517,65.78,0
1518,92.75,0
1519,73.99,0
1520,77.23,0
1521,96.76,0
1522,85.4,0
1523,79.43,0
1524,87.74,0
1525,71.8,0
1526,100,0
1527,90.78,0
1528,99.34,0
1529,,0
1530,,0
1531,0,0
1532,,0
1533,,0
1534,33.33,0
1535,0,0
1536,100,0
1537,,0
1538,0,0
1539,,0
1540,0,0
1541,0,0
1542,,0
1543,100,0
1544,,0
1545,,0
1546,,0
1547,2.99,0
1548,29.56,0
1549,0.92,0
1550,0.92,0
1551,0.06,0
1552,3.42,0
1553,1.65,0
1554,7.77,0
1555,3.99,0
1556,0.06,0
1557,4.51,0
1558,0,0
1559,1.41,0
1560,0.48,0
1561,0,0
1562,61.09,0
1563,1.97,0
1564,0.32,0
1565,0.15,0
1566,3.86,0
1567,0.08,0
1568,0.89,0
1569,7.87,0
1570,0.17,0
1571,0.39,0
1572,4.43,0
1573,0.23,0
1574,1.91,0
1575,0.08,0
1576,0.04,0
1577,0.77,0
1578,2.42,0
1579,0.02,0
1580,0.12,0
1581,0.43,0
1582,0.15,0
1583,0.03,0
1584,0.16,0
1585,1.79,0
1586,0.07,0
1587,2.8,0
1588,2.28,0
1589,64.21,0
1590,0.85,0
1591,2.68,0
1592,0,0
1593,0.3,0
1594,91.07,0
1595,54.07,0
1596,3.12,0
1597,0.12,0
1598,7.96,0
1599,0.03,0
1600,0.15,0
1601,6.11,0
1602,0.41,0
1603,0.37,0
1604,4.08,0
1605,0.54,0
1606,0.84,0
1607,1.86,0
1608,0.18,0
1609,2.23,0
1610,74.13,0
1611,0.21,0
1612,0.23,0
1613,0.83,0
1614,57.14,0
1615,67.89,0
1616,0.18,0
1617,52.95,0
1618,49.84,0
1619,82.22,0
1620,21.93,0
1621,62.25,0
1622,88.09,0
1623,86.97,0
1624,88.53,0
1625,69.54,0
1626,63.75,0
1627,80.07,0
1628,48.95,0
1629,74.86,0
1630,99.35,0
1631,57.79,0
1632,39.43,0
1633,84.69,0
1634,95.73,0
1635,94.72,0
1636,95.78,0
1637,66.24,0
1638,97.08,0
1639,78.16,0
1640,51.48,0
1641,8.42,0
1642,95.55,0
1643,72.22,0
1644,29.02,0
1645,45.9,0
1646,40.49,0
1647,38.23,0
1648,59.01,0
1649,67,0
1650,68.68,0
1651,63.43,0
1652,30.24,0
1653,36.05,0
1654,72.01,0
1655,76.24,0
1656,86.35,0
1657,39.38,0
1658,94.66,0
1659,26.04,0
1660,40.45,0
1661,2.1,0
1662,1.66,0
1663,61.5,0
1664,24.49,0
1665,90.33,0
1666,13.14,0
1667,88.52,0
1668,77.48,0
1669,78.73,0
1670,79.44,0
1671,34.19,0
1672,10.34,0
1673,59.09,0
1674,41.85,0
1675,19.64,0
1676,55.94,0
